,year,gender,Amount
1,1996,male,880
3,1997,male,860
5,1998,male,789
7,1999,male,760
9,2000,male,756
11,2001,male,651
13,2002,male,658
15,2003,male,552
17,2004,male,505
19,2005,male,554
21,2006,male,643
23,2007,male,677
25,2008,male,689
27,2009,male,736
29,2010,male,729
31,2011,male,743
33,2012,male,722
35,2013,male,599
37,2014,male,558
39,2015,male,594
41,2016,male,629
43,2017,male,611
45,2018,male,477
