print_page,year,word_count,gender,,,,,,,,,,,,,,,,,
10,1996,174,male,,,,,,,,,,,,,,,,,
23,1996,336,female,,,,,,,,,,,,,,,,,
13,1996,924,male,,,,,,,,,,,,,,,,,
6,1996,217,female,,,,,,,,,,,,,,,,,
27,1996,455,male,,,,,,,,,,,,,,,,,
21,1996,218,male,,,,,,,,,,,,,,,,,
12,1996,122,male,,,,,,,,,,,,,,,,,
37,1996,875,male,,,,,,,,,,,,,,,,,
20,1996,1127,male,,,,,,,,,,,,,,,,,
31,1996,383,male,,,,,,,,,,,,,,,,,
46,1996,599,male,,,,,,,,,,,,,,,,,
44,1996,91,male,,,,,,,,,,,,,,,,,
9,1996,417,male,,,,,,,,,,,,,,,,,
16,1996,1019,male,,,,,,,,,,,,,,,,,
6,1996,369,male,,,,,,,,,,,,,,,,,
19,1996,902,male,,,,,,,,,,,,,,,,,
22,1996,266,male,,,,,,,,,,,,,,,,,
41,1996,291,male,,,,,,,,,,,,,,,,,
6,1996,626,male,,,,,,,,,,,,,,,,,
52,1996,207,female,,,,,,,,,,,,,,,,,
14,1996,586,male,,,,,,,,,,,,,,,,,
46,1996,190,male,,,,,,,,,,,,,,,,,
19,1996,206,male,,,,,,,,,,,,,,,,,
7,1996,382,male,,,,,,,,,,,,,,,,,
5,1996,630,female,,,,,,,,,,,,,,,,,
7,1996,334,male,,,,,,,,,,,,,,,,,
22,1996,202,female,,,,,,,,,,,,,,,,,
18,1996,300,male,,,,,,,,,,,,,,,,,
26,1996,431,male,,,,,,,,,,,,,,,,,
7,1996,1190,male,,,,,,,,,,,,,,,,,
48,1996,218,female,,,,,,,,,,,,,,,,,
30,1996,543,female,,,,,,,,,,,,,,,,,
14,1996,527,male,,,,,,,,,,,,,,,,,
10,1996,287,male,,,,,,,,,,,,,,,,,
42,1996,331,male,,,,,,,,,,,,,,,,,
39,1996,123,male,,,,,,,,,,,,,,,,,
6,1996,661,male,,,,,,,,,,,,,,,,,
8,1996,288,male,,,,,,,,,,,,,,,,,
12,1996,517,male,,,,,,,,,,,,,,,,,
13,1996,690,female,,,,,,,,,,,,,,,,,
41,1996,316,male,,,,,,,,,,,,,,,,,
10,1996,740,male,,,,,,,,,,,,,,,,,
7,1996,170,male,,,,,,,,,,,,,,,,,
10,1996,566,male,,,,,,,,,,,,,,,,,
10,1996,484,male,,,,,,,,,,,,,,,,,
25,1996,389,female,,,,,,,,,,,,,,,,,
9,1996,241,male,,,,,,,,,,,,,,,,,
8,1996,1038,female,,,,,,,,,,,,,,,,,
38,1996,355,male,,,,,,,,,,,,,,,,,
11,1996,320,female,,,,,,,,,,,,,,,,,
22,1996,185,female,,,,,,,,,,,,,,,,,
22,1996,789,female,,,,,,,,,,,,,,,,,
9,1996,904,male,,,,,,,,,,,,,,,,,
6,1996,526,female,,,,,,,,,,,,,,,,,
12,1996,504,male,,,,,,,,,,,,,,,,,
12,1996,295,male,,,,,,,,,,,,,,,,,
12,1996,140,male,,,,,,,,,,,,,,,,,
12,1996,505,male,,,,,,,,,,,,,,,,,
9,1996,559,female,,,,,,,,,,,,,,,,,
51,1996,188,male,,,,,,,,,,,,,,,,,
21,1996,214,male,,,,,,,,,,,,,,,,,
24,1996,974,male,,,,,,,,,,,,,,,,,
23,1996,227,male,,,,,,,,,,,,,,,,,
5,1996,386,male,,,,,,,,,,,,,,,,,
21,1996,347,male,,,,,,,,,,,,,,,,,
31,1996,281,male,,,,,,,,,,,,,,,,,
50,1996,169,female,,,,,,,,,,,,,,,,,
23,1996,386,male,,,,,,,,,,,,,,,,,
9,1996,300,male,,,,,,,,,,,,,,,,,
6,1996,327,male,,,,,,,,,,,,,,,,,
10,1996,208,male,,,,,,,,,,,,,,,,,
14,1996,317,male,,,,,,,,,,,,,,,,,
52,1996,470,male,,,,,,,,,,,,,,,,,
27,1996,197,male,,,,,,,,,,,,,,,,,
10,1996,765,female,,,,,,,,,,,,,,,,,
11,1996,417,male,,,,,,,,,,,,,,,,,
10,1996,509,male,,,,,,,,,,,,,,,,,
13,1996,213,female,,,,,,,,,,,,,,,,,
15,1996,190,male,,,,,,,,,,,,,,,,,
26,1996,225,male,,,,,,,,,,,,,,,,,
21,1996,605,male,,,,,,,,,,,,,,,,,
46,1996,202,male,,,,,,,,,,,,,,,,,
5,1996,302,male,,,,,,,,,,,,,,,,,
17,1996,207,male,,,,,,,,,,,,,,,,,
